model	nDCG	Recall	Precision	nDCGRendle2020	HR	F1	MAP	MAR	MRR	ACLT	APLT	ARP	PopREO	PopRSP	ItemCoverage	UserCoverage	Gini	SEntropy	EFD	EPC
output_EXP_1_elliot	0.1519435266623242	0.15627039670300852	0.04412751677852349	0.14532731715598163	0.7416107382550335	0.058745726797924586	0.08868554907853282	0.11803402352292185	0.34805586189827475	2.6996644295302015	0.07892884327717932	85.00323384419434	0.9120250578782514	0.8665513751180199	642.0	587.0	0.08086699784470619	7.44710704036124	0.8550143796494417	0.07789822525697708
VSM_sim=cosine_up=tfidf_ip=binary_load=ItemAttributes	0.02776837418712488	0.040432503240276925	0.018221476510067114	0.0324180106713001	0.43288590604026844	0.020651252610108955	0.019969475594810847	0.021208321628897003	0.07760615639704888	21.171140939597315	0.42342281879194626	24.83302013422819	0.1544502617801047	0.2534313749774758	981.0	596.0	0.13899639171537848	8.415374766160305	0.1985511701511819	0.017805710512576966
AttributeItemKNN_nn=20_sim=correlation_bin=False_load=ItemAttributes	0.051001025443419286	0.07739904470612648	0.02939597315436242	0.056597134977195616	0.5922818791946308	0.03512896386492509	0.033453605471181494	0.044851480856658466	0.11238566185127137	27.61744966442953	0.5523489932885907	21.962818791946308	0.06576402321083163	0.00037574270351627695	1840.0	596.0	0.5798090495778307	10.432734358059932	0.32932332501487094	0.028985346154262952
AttributeUserKNN_nn=40_sim=correlation_profile=binary_bin=False_load=ItemAttributes	0.2574184476638362	0.30785905425393184	0.1071476510067114	0.2667095002185312	0.87248322147651	0.13461672519193787	0.16240930799044598	0.20623117759000154	0.4751830795617804	1.766778523489933	0.035335570469798655	85.07704697986577	0.9705472019841884	0.9422962963296321	1182.0	596.0	0.1695236703471168	8.702871460228932	1.1844377500168406	0.109152124075027
ItemKNN_nn=40_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.3264680945315884	0.4080293853098229	0.13429530201342282	0.34280227362694693	0.9412751677852349	0.17147199386809983	0.20311409614937412	0.27794571382149647	0.5365115583350394	3.4379194630872485	0.06875838926174496	80.03228187919464	0.8555819477434681	0.8869977556145855	1465.0	596.0	0.19715591397849497	8.881211250732358	1.5248723259459653	0.14128928796676876
UserKNN_nn=80_sim=correlation_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.3377121871486148	0.40999829086650835	0.13258389261744968	0.348880170919732	0.9362416107382551	0.17019500477206517	0.20527119217601977	0.27867617231512803	0.5639498614177948	1.360738255033557	0.02721476510067114	85.2270134228188	0.9526892430278884	0.955626278925468	1066.0	596.0	0.15762066103774264	8.614433822936713	1.5002389685729656	0.1385721975302611
EASER_neighborhood=1861_l2_norm=18374136$168271586	0.24616503417950902	0.2955105378493335	0.10030201342281879	0.24898868492964307	0.9026845637583892	0.125867096085405	0.14718225602645596	0.19201033401310513	0.45192332818436665	0.0	0.0	119.91523489932888	1.0	1.0	188.0	596.0	0.04164931081763701	6.669313809409652	1.05105489214053	0.0960605881812217
RP3beta_neighborhood=507_alpha=1$0180281935718316_beta=0$41875971052261285_normalize_similarity=True	0.3381331791774619	0.42454680255722693	0.13439597315436244	0.35093365107664254	0.9446308724832215	0.17370898798772327	0.20399601566633094	0.28611115689963884	0.5399898676673858	1.6812080536912752	0.0336241610738255	86.12852348993289	0.9036580948931546	0.9451089312396465	1003.0	596.0	0.14294547881936925	8.477167550476358	1.5078898530157439	0.1391640695212827
MostPop	0.18815897598484577	0.22985354833938343	0.08151006711409396	0.1907448703596012	0.8573825503355704	0.10036343958944034	0.11528363408221479	0.1436525469746345	0.364485583254609	0.0	0.0	125.2706375838926	1.0	1.0	119.0	596.0	0.03462387241105591	6.288098817336739	0.8212373312105621	0.07436780613200704
Random_seed=42	0.017969164292338906	0.029860493114473793	0.012785234899328861	0.02064812445253942	0.35570469798657717	0.014652380588022599	0.011833208153871228	0.015610458311472146	0.03938425578466892	27.456375838926174	0.5491275167785235	21.35765100671141	0.027959547888161837	0.009552555423765197	1861.0	596.0	0.8568295085516344	10.814377394884373	0.12730829993152734	0.011267936975687839
