model;nDCG;Recall;Precision;nDCGRendle2020;HR;F1;MAP;MAR;MRR;ACLT;APLT;ARP;PopREO;PopRSP;ItemCoverage;UserCoverage;Gini;SEntropy;EFD;EPC
ChatGPT-3.5;0.24826;0.23989;0.08561;0.23263;0.79855;0.12394;0.15075;0.17412;0.45876;2.49193;0.1374;93.3422;0.47508;0.79096;1018;1796;0.19144;8.55847;1.1677;0.11985
VSM;0.2788;0.2894;0.10785;0.25972;0.85476;0.15451;0.16735;0.19398;0.45698;1.40122;0.07006;152.83255;0.65269;0.8936;899;1797;0.11602;7.7273;1.16751;0.12427
AttributeItemKNN;0.26017;0.29056;0.10735;0.25262;0.84363;0.1541;0.1604;0.1927;0.42576;6.55314;0.32766;75.6611;0.16821;0.46685;1487;1797;0.45917;9.7457;1.24257;0.12461
AttributeUserKNN;0.31586;0.3188;0.12315;0.29139;0.86032;0.17525;0.19169;0.21516;0.49641;2.63717;0.13186;108.51355;0.69619;0.79649;1134;1797;0.23609;8.89452;1.36983;0.14442
ItemKNN;0.31274;0.333;0.12379;0.29996;0.89538;0.17745;0.19482;0.22691;0.49934;4.64162;0.23208;95.52604;0.37312;0.63211;1438;1797;0.34802;9.33838;1.44235;0.14749
UserKNN;0.30844;0.31833;0.12006;0.28913;0.86811;0.17158;0.18851;0.21664;0.48519;1.40902;0.07045;134.85854;0.71999;0.893;1096;1797;0.18547;8.50472;1.3282;0.14057
RP3beta;0.33337;0.35299;0.13122;0.30932;0.90317;0.18814;0.19756;0.23329;0.49942;2.52977;0.12649;137.55067;0.54217;0.80506;1024;1797;0.174;8.35156;1.43177;0.14953
MostPop;0.1217;0.13528;0.05545;0.11652;0.53534;0.07782;0.07658;0.08543;0.21607;0;0;293.61105;1;1;41;1797;0.01568;4.85085;0.48357;0.05425
Random;0.00753;0.01401;0.0052;0.00942;0.09905;0.00744;0.0053;0.00757;0.0177;11.31942;0.56597;31.6756;0.0374;0.00607;1507;1797;0.88721;10.52812;0.04946;0.0048
EASER;0.31272;0.32317;0.12209;0.29226;0.8798;0.17446;0.19093;0.21854;0.49309;0.68447;0.03422;155.70245;0.80695;0.9485;824;1797;0.12525;7.95566;1.31603;0.14097
text-davinci-003;0.23267;0.22189;0.08088;0.22161;0.77017;0.11657;0.14669;0.16405;0.45123;2.15748;0.1147;93.39119;0.61524;0.82585;771;1786;0.12853;7.98328;1.05673;0.10962
PaLM 2;0.28591;0.28058;0.10418;0.25065;0.64429;0.14947;0.15921;0.18587;0.41105;1.49293;0.08952;104.17281;0.56617;0.80804;833;1675;0.13252;7.80734;1.3258;0.1383
